code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LUX,0.00082065,0.00088217,0.00071324,0.00076196,0.0003862,0.00052713,0.0005529,0.00044261,0.00066552,0.00066509,0.00066785,0.00089795,0.00076981,0.0007413,0.00058183,0.0008361,0.00050322,0.00064647,0.00080959,0.00074147
SVK,0.010007,0.0099205,0.01034,0.014067,0.011684,0.013976,0.014399,0.011526,0.011929,0.014171,0.011392,0.010083,0.0070881,0.010594,0.011322,0.010682,0.011278,0.010656,0.013073,0.011614
AUT,0.022688,0.022741,0.02758,0.036681,0.023409,0.031694,0.03692,0.027755,0.030893,0.040641,0.029785,0.026711,0.020065,0.026861,0.033262,0.032908,0.030628,0.023883,0.034692,0.028291
HUN,0.018215,0.018089,0.018732,0.02547,0.021429,0.025416,0.026032,0.021039,0.02158,0.025604,0.020939,0.017914,0.012882,0.019407,0.020789,0.019363,0.020574,0.019801,0.024111,0.021228
MDA,0.005035,0.0049763,0.0027963,0.0028182,0.0040819,0.0042323,0.0027951,0.0028678,0.0031829,0.00523,0.0049787,0.0055507,0.0029768,0.0030548,0.0069478,0.0054595,0.0061292,0.0043324,0.0042337,0.0040174
ROU,0.038594,0.037985,0.026945,0.02415,0.036318,0.035336,0.025324,0.03136,0.033021,0.031907,0.041105,0.033812,0.027153,0.029008,0.04186,0.033575,0.041554,0.037606,0.037659,0.031922
CHE,0.011972,0.012197,0.012716,0.014835,0.0073777,0.011565,0.012463,0.0098264,0.01356,0.014401,0.013412,0.011884,0.01114,0.01291,0.015836,0.015396,0.014623,0.009412,0.014958,0.011692
LIE,0.000037811,0.000037711,0.000047517,0.000053168,0.000031188,0.000044841,0.000054359,0.000045569,0.000053325,0.000065083,0.000054105,0.000044384,0.000039846,0.000043918,0.000062408,0.000058887,0.000055964,0.000037382,0.000060265,0.000044992
FRA,0.00010977,0.00010486,0.0000946,0.000097069,0.00010177,0.000095279,0.000097762,0.000088169,0.000093771,0.000092648,0.000090952,0.000095011,0.000091523,0.000092482,0.000083468,0.000096576,0.00008356,0.000091835,0.000088022,0.000091142
ITA,0.070486,0.068116,0.076015,0.084337,0.061232,0.0745,0.083274,0.074222,0.086121,0.091857,0.082352,0.07462,0.060358,0.066195,0.078019,0.084093,0.075923,0.06141,0.083925,0.070629
SVN,0.0054062,0.0054298,0.0064851,0.0091913,0.0060192,0.0080028,0.0092028,0.0066524,0.0072573,0.0098357,0.0068467,0.0063727,0.0044202,0.0064498,0.007534,0.0076147,0.0070217,0.0058291,0.008131,0.0068643
