code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FRA,0.15535,0.18541,0.18283,0.14348,0.13581,0.15166,0.14327,0.12407,0.13717,0.12024,0.12033,0.14251,0.13548,0.091777,0.086202,0.10204,0.098863,0.092922,0.091891,0.09321,0.063367,0.098004
CZE,0.019306,0.024067,0.023584,0.017843,0.018008,0.02369,0.021351,0.015645,0.01863,0.013885,0.013025,0.014707,0.013763,0.010237,0.010653,0.011033,0.0095463,0.010291,0.01035,0.0114,0.007064,0.0091671
LUX,0.0017452,0.0024403,0.0023812,0.0019054,0.0019691,0.0021499,0.0021353,0.0015052,0.0017137,0.001729,0.0016095,0.0021584,0.0015453,0.00081156,0.00074478,0.00098425,0.00071561,0.0009856,0.00095323,0.0008914,0.00044968,0.0007064
SVK,0.010776,0.012364,0.011407,0.0084208,0.0088386,0.011631,0.010295,0.0083489,0.0080777,0.0093327,0.0086435,0.0099472,0.008323,0.0069214,0.0058546,0.0059252,0.0058703,0.0060584,0.0062789,0.0057626,0.005168,0.0065729
AUT,0.019446,0.021043,0.020362,0.016957,0.017472,0.021496,0.01947,0.015757,0.017309,0.014335,0.013928,0.012234,0.012088,0.011009,0.011479,0.010576,0.011496,0.010563,0.010548,0.0085335,0.0052798,0.010741
HUN,0.020417,0.021583,0.017828,0.012363,0.013615,0.019751,0.016267,0.012585,0.013522,0.013923,0.012175,0.011482,0.010823,0.010817,0.010196,0.012979,0.010572,0.0083593,0.011132,0.0081427,0.0073151,0.011032
MDA,0.0056344,0.00587,0.0049719,0.0038497,0.0041352,0.0054956,0.0042085,0.0038474,0.0042437,0.004518,0.0042566,0.00416,0.0035869,0.0045862,0.0046696,0.0039649,0.0046541,0.0049608,0.0056955,0.0035052,0.0040933,0.0045567
ROU,0.041719,0.045779,0.037707,0.026506,0.028584,0.039382,0.031366,0.024962,0.030056,0.03148,0.025086,0.025598,0.023766,0.028465,0.027649,0.022623,0.028543,0.023278,0.032765,0.019931,0.022249,0.027402
CHE,0.0096307,0.0099709,0.009921,0.0077517,0.0078705,0.0091813,0.0083432,0.0073363,0.007081,0.0068222,0.0066099,0.0059818,0.0061,0.0054063,0.0056657,0.0055581,0.0060965,0.0050178,0.0047623,0.0027187,0.0015091,0.0080462
LIE,0.000029444,0.000029911,0.000030457,0.000024051,0.000024734,0.0000288,0.000026845,0.000023134,0.000022541,0.000021921,0.000021233,0.000019352,0.000019011,0.000016562,0.000018313,0.000017761,0.000018647,0.0000164,0.000015484,0.0000080521,0.0000042263,0.000026809
FRA,0.0000072741,0.0000075548,0.0000071965,0.0000078349,0.0000079359,0.000007571,0.0000070748,0.000007584,0.0000082152,0.0000077367,0.0000070256,0.0000068699,0.0000068329,0.0000078022,0.0000078979,0.0000078947,0.0000073879,0.0000079892,0.0000078527,0.0000079126,0.0000075977,0.0000070584
ITA,0.082397,0.079792,0.078079,0.070973,0.07361,0.079685,0.078899,0.071317,0.075731,0.071161,0.070606,0.061164,0.058187,0.058959,0.061811,0.057593,0.059966,0.056336,0.059365,0.04348,0.036612,0.062419
SVN,0.0044778,0.004466,0.00417,0.0038115,0.0039951,0.0047796,0.0042951,0.00366,0.0039354,0.0034026,0.0033712,0.0024626,0.0025177,0.0026899,0.0027133,0.0022442,0.0028655,0.0024527,0.0024948,0.0018127,0.0012072,0.0020968
HRV,0.013489,0.013286,0.012153,0.010714,0.011417,0.013759,0.012408,0.01045,0.011432,0.010201,0.0099273,0.0078689,0.0078747,0.0085332,0.008482,0.0078587,0.0086929,0.0075101,0.0083491,0.0061895,0.0047029,0.0071443
SRB,0.017476,0.017918,0.015206,0.011026,0.012905,0.016579,0.013641,0.011096,0.013535,0.01198,0.011502,0.0099537,0.0097919,0.012085,0.011902,0.01279,0.011996,0.010021,0.013276,0.0097118,0.0089837,0.011645
UZB,0.016395,0.016288,0.016366,0.015901,0.014289,0.016421,0.016737,0.013375,0.010782,0.010632,0.01142,0.012359,0.012755,0.016229,0.012294,0.013379,0.018312,0.017039,0.01351,0.014271,0.014363,0.014126
JPN,0.10294,0.11375,0.10974,0.099371,0.097166,0.10697,0.10016,0.087622,0.087209,0.087899,0.098785,0.090565,0.086821,0.085148,0.085442,0.088882,0.095155,0.087788,0.092003,0.092152,0.089631,0.092148
BIH,0.0098533,0.0098925,0.0087279,0.00705,0.0078072,0.0097228,0.0084005,0.0069672,0.0079737,0.0071035,0.0068579,0.0056598,0.0056191,0.006442,0.0063915,0.0064283,0.006496,0.0055047,0.0066887,0.0049225,0.0041501,0.005819
BGR,0.02609,0.028259,0.022996,0.01793,0.021924,0.024,0.024258,0.018494,0.022736,0.020807,0.020125,0.017163,0.016812,0.024777,0.018598,0.016084,0.020505,0.019584,0.023433,0.017059,0.017599,0.018438
ESP,0.10521,0.12894,0.098826,0.071872,0.078448,0.087492,0.089588,0.072529,0.064167,0.062148,0.072766,0.071407,0.064351,0.060117,0.060301,0.062164,0.069502,0.060496,0.066427,0.066886,0.053827,0.070625
GEO,0.0071965,0.0067627,0.0062708,0.0059814,0.0062446,0.006448,0.0061473,0.0059727,0.0052741,0.0054051,0.0059768,0.0052114,0.0057274,0.0058758,0.0055881,0.0061722,0.0063442,0.0065534,0.005894,0.0061815,0.006623,0.0065338
KGZ,0.0079652,0.0074188,0.0075589,0.0067736,0.0060578,0.0066458,0.0062287,0.0060508,0.005546,0.0057152,0.0059054,0.0065503,0.0063375,0.0084935,0.0063455,0.0062074,0.0073198,0.0074704,0.0063005,0.0072955,0.0073406,0.0073178
PRK,0.027589,0.033935,0.028014,0.024071,0.024049,0.026336,0.028652,0.017316,0.016314,0.017233,0.018714,0.01953,0.017301,0.017854,0.017572,0.018993,0.022774,0.018828,0.018385,0.023608,0.021971,0.024212
AND,0.000084532,0.000092238,0.000086506,0.000061848,0.000064336,0.000068603,0.00006655,0.000063526,0.000050551,0.000048085,0.00006004,0.000059682,0.000055673,0.000049706,0.000049613,0.000053467,0.000065758,0.000052095,0.000052235,0.00004503,0.000031294,0.000051092
ALB,0.0039916,0.0039215,0.0036749,0.0031231,0.0037484,0.0039106,0.003369,0.0030543,0.0040207,0.0030695,0.0033548,0.0027137,0.002725,0.0037887,0.0038406,0.0032173,0.0037748,0.0034757,0.0041829,0.0031881,0.0029062,0.0033279
TKM,0.020565,0.021588,0.02311,0.021959,0.01979,0.022227,0.022644,0.019146,0.015018,0.015279,0.016732,0.019703,0.018132,0.020528,0.01735,0.019233,0.023058,0.021528,0.019458,0.022617,0.022972,0.022426
MKD,0.0035524,0.0035568,0.0032578,0.002694,0.0032484,0.0034419,0.0030363,0.0026481,0.0034661,0.0027142,0.0029231,0.002352,0.0023502,0.0033542,0.0032473,0.0027084,0.0032578,0.0029793,0.0036231,0.0027131,0.0025094,0.0028579
TUR,0.12037,0.11361,0.10071,0.09399,0.10017,0.109,0.10687,0.095415,0.096184,0.091232,0.10327,0.089254,0.094406,0.11462,0.10338,0.10931,0.11049,0.11186,0.1116,0.10884,0.11237,0.10943
PRT,0.015422,0.019399,0.017699,0.016141,0.014775,0.017074,0.015962,0.014087,0.016057,0.015758,0.015688,0.017647,0.016567,0.016237,0.014264,0.015584,0.016036,0.014049,0.01517,0.015657,0.014938,0.015511
AZE,0.0079945,0.0075736,0.0072428,0.0075625,0.0076222,0.0075795,0.0078734,0.0066786,0.0058094,0.0061718,0.0068474,0.0064016,0.0068155,0.0076786,0.0071144,0.0077125,0.0081833,0.0084129,0.0076486,0.0090832,0.0097706,0.0094213
GRC,0.028422,0.028825,0.024137,0.023456,0.028342,0.027053,0.026378,0.024956,0.029923,0.025287,0.025418,0.023773,0.023471,0.029004,0.026739,0.024864,0.026606,0.027633,0.029036,0.024649,0.024454,0.024663
ARM,0.0024025,0.0022866,0.0021577,0.0019706,0.0021203,0.002192,0.0022504,0.0018685,0.0016114,0.0017118,0.0019174,0.0016075,0.001921,0.0020539,0.0019396,0.0021038,0.002253,0.002342,0.0021188,0.0023541,0.0026277,0.0025264
TJK,0.0057903,0.004989,0.0046695,0.0050105,0.0047487,0.0050955,0.0052065,0.0049451,0.0045691,0.0044437,0.0045027,0.00472,0.004802,0.0056055,0.0046352,0.0045513,0.0056091,0.0050457,0.0045849,0.0051516,0.0052366,0.0050872
IRN,0.091585,0.094537,0.085244,0.094818,0.096184,0.10508,0.10716,0.093944,0.083367,0.086771,0.10272,0.098319,0.099375,0.10581,0.098813,0.1074,0.11629,0.11121,0.10594,0.11333,0.1168,0.11224
KOR,0.040782,0.046405,0.041941,0.037376,0.036874,0.040956,0.043374,0.029594,0.02578,0.028167,0.029763,0.02887,0.026247,0.026836,0.026795,0.028732,0.030963,0.028906,0.028478,0.031214,0.030186,0.031667
AFG,0.048594,0.043911,0.042486,0.041957,0.043871,0.048311,0.049789,0.042782,0.039278,0.035874,0.03781,0.038649,0.041428,0.046014,0.035992,0.04194,0.047921,0.039581,0.041907,0.047124,0.047548,0.044135
TUN,0.018136,0.015838,0.016814,0.012229,0.012688,0.015528,0.016858,0.017816,0.016309,0.012794,0.01272,0.012803,0.011805,0.015836,0.014734,0.015027,0.014522,0.014974,0.018306,0.016238,0.015645,0.015779
