code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LUX,0.00076999,0.00082869,0.00066823,0.00071045,0.00036284,0.00049084,0.00051833,0.00041722,0.00062524,0.00062863,0.00063058,0.00085623,0.00073297,0.00070275,0.00054737,0.00079674,0.00047366,0.00062164,0.00077643,0.00071256
SVK,0.009545,0.0094626,0.0098649,0.013424,0.011145,0.013334,0.01372,0.010962,0.01133,0.013441,0.010784,0.0095354,0.00669,0.0099841,0.010654,0.01004,0.010581,0.0099785,0.012225,0.010863
AUT,0.021292,0.021342,0.025882,0.034429,0.021974,0.029749,0.034647,0.026039,0.028977,0.038116,0.027926,0.025043,0.018805,0.025175,0.031165,0.03083,0.02869,0.02237,0.032487,0.026494
HUN,0.017708,0.017589,0.018242,0.024863,0.020853,0.024762,0.025399,0.02047,0.021001,0.024991,0.020352,0.017452,0.012509,0.018886,0.020219,0.018872,0.019995,0.019233,0.023441,0.020645
MDA,0.0050156,0.0049571,0.0027855,0.0028073,0.0040662,0.004216,0.0027844,0.0028568,0.0031707,0.0052099,0.0049595,0.0055293,0.0029653,0.003043,0.0069211,0.0054385,0.0061056,0.0043157,0.0042174,0.0040019
ROU,0.038073,0.037474,0.026612,0.023841,0.035856,0.034876,0.025012,0.031009,0.03266,0.03145,0.040622,0.033345,0.026873,0.028721,0.041317,0.033137,0.041084,0.037264,0.037342,0.031629
CHE,0.011617,0.011837,0.012322,0.014381,0.0071407,0.011203,0.012063,0.0095076,0.013147,0.013946,0.013008,0.011538,0.010823,0.012553,0.015382,0.014964,0.014217,0.0091505,0.014545,0.011374
LIE,0.000037548,0.000037449,0.000047187,0.000052799,0.000030971,0.00004453,0.000053982,0.000045253,0.000052955,0.000064631,0.000053729,0.000044076,0.000039569,0.000043613,0.000061974,0.000058478,0.000055575,0.000037122,0.000059847,0.00004468
FRA,0.00010905,0.00010417,0.000093977,0.00009643,0.0001011,0.000094652,0.000097119,0.000087589,0.000093154,0.000092038,0.000090353,0.000094385,0.000090921,0.000091873,0.000082919,0.00009594,0.00008301,0.00009123,0.000087443,0.000090542
ITA,0.063243,0.061114,0.06836,0.075814,0.054993,0.066954,0.074804,0.066499,0.076947,0.082065,0.073298,0.066253,0.053438,0.058473,0.068977,0.074064,0.066738,0.053731,0.073456,0.061753
SVN,0.0052306,0.0052539,0.0062698,0.0089163,0.0058468,0.0077664,0.0089259,0.0064393,0.0070173,0.009527,0.0066123,0.0061686,0.0042577,0.0062464,0.0072702,0.0073585,0.0067816,0.0056528,0.0078651,0.0066547
HRV,0.015685,0.015511,0.017942,0.025835,0.017929,0.022844,0.025677,0.018883,0.020384,0.026812,0.018824,0.018037,0.012252,0.018003,0.019626,0.020926,0.018998,0.016964,0.022314,0.0193
SRB,0.015693,0.016243,0.014039,0.015504,0.017059,0.017459,0.015013,0.015536,0.018378,0.012705,0.014751,0.012161,0.013097,0.014718,0.010891,0.014671,0.014079,0.016944,0.017847,0.013067
