code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FRA,0.13548,0.16387,0.16206,0.12546,0.11894,0.13365,0.12635,0.10862,0.12029,0.106,0.10564,0.12714,0.11991,0.079691,0.074875,0.089652,0.086651,0.082314,0.08147,0.082404,0.054847,0.08664
CZE,0.018129,0.022591,0.022132,0.016744,0.016902,0.022235,0.020017,0.014658,0.017419,0.012996,0.012177,0.013739,0.012834,0.0095425,0.0099073,0.010249,0.0088661,0.0095455,0.0095917,0.010554,0.006556,0.0085057
LUX,0.0016288,0.0022776,0.0022225,0.0017783,0.0018378,0.0020066,0.0019966,0.00141,0.0016082,0.0016255,0.001516,0.0020367,0.0014608,0.00076856,0.00070658,0.00093545,0.00068136,0.00094011,0.00091087,0.00085178,0.0004297,0.000675
SVK,0.010278,0.011793,0.01088,0.0080319,0.0084302,0.011095,0.0098049,0.0079389,0.0076719,0.0088458,0.0081804,0.0093994,0.007854,0.0065211,0.0055092,0.0055672,0.0055066,0.0056748,0.0058719,0.0053906,0.0048317,0.0061454
AUT,0.018221,0.019711,0.01906,0.015892,0.016377,0.020151,0.018244,0.014762,0.016223,0.013425,0.013044,0.01143,0.011296,0.010306,0.010736,0.0098729,0.010753,0.0098726,0.0098628,0.0079887,0.0049502,0.009973
HUN,0.01982,0.020943,0.017298,0.012003,0.013219,0.019172,0.015787,0.012213,0.013129,0.013495,0.011801,0.011102,0.010476,0.010481,0.0098875,0.012579,0.010251,0.0080952,0.010782,0.0078773,0.0070683,0.010675
MDA,0.0055702,0.0058023,0.004915,0.0038038,0.0040861,0.0054315,0.0041587,0.0038024,0.0041933,0.0044636,0.0042046,0.0041103,0.003545,0.0045304,0.0046115,0.0039156,0.0045972,0.0048986,0.0056247,0.0034623,0.0040434,0.0045022
ROU,0.041226,0.045248,0.037264,0.026168,0.028222,0.038901,0.030999,0.024655,0.029712,0.031126,0.024773,0.025304,0.02352,0.028154,0.027341,0.022371,0.028259,0.022982,0.032437,0.019732,0.022018,0.02715
CHE,0.0093268,0.0096621,0.0096067,0.0075035,0.0076153,0.0088842,0.0080687,0.0071018,0.0068545,0.0066038,0.0064003,0.0057923,0.0059159,0.0052476,0.0054912,0.0053905,0.0059231,0.0048655,0.00462,0.0026456,0.001471,0.007799
LIE,0.000029349,0.000029814,0.000030358,0.000023973,0.000024653,0.000028706,0.000026756,0.000023056,0.000022464,0.000021845,0.000021158,0.000019283,0.000018942,0.0000165,0.000018244,0.000017694,0.000018575,0.000016336,0.000015423,0.0000080202,0.0000042095,0.000026703
FRA,0.000006559,0.0000068122,0.0000064891,0.0000070647,0.0000071558,0.0000068268,0.0000063784,0.0000068365,0.0000074044,0.0000069722,0.0000063304,0.0000061892,0.000006155,0.0000070271,0.0000071123,0.0000071083,0.0000066511,0.0000071914,0.0000070674,0.0000071213,0.0000068379,0.0000063526
ITA,0.071858,0.069561,0.068181,0.061775,0.064091,0.069488,0.068498,0.061688,0.065291,0.06117,0.060468,0.052507,0.049869,0.050279,0.052567,0.048894,0.050751,0.047492,0.049825,0.036255,0.030328,0.052967
SVN,0.0043704,0.0043589,0.00407,0.0037201,0.0038993,0.004665,0.0041929,0.0035736,0.0038433,0.0033236,0.0032936,0.0024064,0.0024607,0.0026295,0.002653,0.0021947,0.0028028,0.0023996,0.0024412,0.0017738,0.0011813,0.0020518
HRV,0.012302,0.012157,0.01109,0.0097351,0.010366,0.012569,0.011299,0.009499,0.010374,0.0092706,0.0090015,0.0071123,0.0071266,0.0076963,0.0076542,0.0071265,0.0078764,0.0067682,0.00752,0.0055533,0.0041964,0.0064623
SRB,0.016789,0.017242,0.014571,0.010493,0.012267,0.015906,0.013077,0.010597,0.012889,0.011497,0.010983,0.0095474,0.0093929,0.011535,0.011355,0.012344,0.01148,0.0095631,0.012733,0.0093018,0.0086116,0.011215
UZB,0.011746,0.011712,0.011558,0.011233,0.0101,0.011598,0.01174,0.0094826,0.0076245,0.0076531,0.0082484,0.0091164,0.0094009,0.011948,0.0088607,0.0096645,0.013637,0.012577,0.0099765,0.010657,0.010723,0.010548
JPN,0.092244,0.10192,0.098367,0.089073,0.087122,0.095882,0.089733,0.078524,0.078086,0.0787,0.088297,0.080969,0.077572,0.076072,0.07625,0.079308,0.084817,0.078235,0.081929,0.082074,0.079852,0.082083
BIH,0.0091938,0.0092512,0.0081476,0.0065633,0.007261,0.0090861,0.0078574,0.0065266,0.0074799,0.0066943,0.0064708,0.0053509,0.0053328,0.0061216,0.0060945,0.0061771,0.0062456,0.0052955,0.0064679,0.0047531,0.0040078,0.00564
BGR,0.02541,0.027529,0.022392,0.017446,0.021344,0.023371,0.023589,0.01794,0.022033,0.020129,0.019432,0.016543,0.016178,0.023822,0.017845,0.015393,0.019617,0.018693,0.022351,0.016254,0.01677,0.017577
ESP,0.08024,0.09791,0.075277,0.054875,0.05994,0.066769,0.068255,0.05543,0.049069,0.047467,0.055647,0.054601,0.049212,0.046018,0.046175,0.047608,0.053201,0.046372,0.050775,0.051088,0.041115,0.053935
GEO,0.005719,0.0053553,0.0049481,0.0046857,0.0048928,0.0050749,0.0048365,0.0046219,0.0040379,0.004125,0.0045391,0.0039356,0.0043415,0.0044519,0.0042189,0.0046138,0.0047569,0.0049133,0.004383,0.0046184,0.0049798,0.0049199
KGZ,0.0053445,0.0049469,0.0049662,0.0045086,0.004056,0.004468,0.0041995,0.0040682,0.0037238,0.0038459,0.0039799,0.0044032,0.0042703,0.0056498,0.00428,0.0042143,0.0050069,0.0050412,0.0042776,0.0049327,0.004965,0.0049438
PRK,0.024307,0.02984,0.024629,0.021206,0.021219,0.023223,0.025276,0.015195,0.014278,0.015073,0.01638,0.017083,0.015109,0.01558,0.01533,0.016564,0.019853,0.016411,0.016004,0.020544,0.019115,0.021071
AND,0.000073514,0.000080215,0.000075231,0.000053787,0.00005595,0.000059661,0.000058513,0.000056464,0.000045416,0.000043662,0.000055093,0.000055336,0.000052153,0.00004704,0.000047428,0.000051625,0.000064123,0.000051299,0.000051937,0.000044773,0.000031116,0.0000508
ALB,0.003929,0.00386,0.0036175,0.0030739,0.0036893,0.0038493,0.0033167,0.0030075,0.00396,0.0030238,0.0033058,0.0026742,0.002686,0.0037359,0.0037881,0.0031738,0.0037251,0.0034302,0.0041297,0.0031471,0.0028686,0.0032854
TKM,0.012805,0.013328,0.013988,0.01358,0.012547,0.013816,0.014197,0.01192,0.0094493,0.0096257,0.010596,0.012325,0.011657,0.013471,0.011213,0.012169,0.015006,0.013866,0.012713,0.015108,0.01545,0.015043
MKD,0.0034153,0.0034217,0.003131,0.0025878,0.003121,0.0033077,0.0028897,0.0024887,0.0032193,0.0024969,0.0026542,0.0021124,0.0020853,0.0029443,0.0028012,0.0023076,0.002746,0.0024812,0.002979,0.002228,0.0020667,0.0023487
