code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BEL,0.020582,0.018995,0.017545,0.017706,0.022356,0.030768,0.023086,0.023196,0.022516,0.026098,0.020527,0.022367,0.015825,0.016054,0.015214,0.016723,0.016149,0.019387,0.020066,0.022465,0.022847,0.027198
FRA,0.11644,0.11759,0.12933,0.12666,0.19269,0.32367,0.20991,0.20628,0.16847,0.16084,0.15015,0.1343,0.12566,0.15038,0.12748,0.13272,0.14618,0.20697,0.20663,0.18299,0.19495,0.2202
CZE,0.0095869,0.011883,0.020731,0.018879,0.022682,0.022004,0.022358,0.04487,0.018042,0.024341,0.024865,0.018778,0.018097,0.026075,0.025912,0.021697,0.025049,0.023916,0.012718,0.027038,0.032143,0.035379
LUX,0.0030047,0.0026455,0.00090366,0.00068358,0.0013109,0.0018589,0.0013235,0.0014943,0.0012973,0.0016269,0.0012619,0.0010325,0.00067354,0.0012672,0.0011919,0.00095175,0.00094822,0.00096456,0.00075343,0.001179,0.0013459,0.001663
SVK,0.003873,0.0059262,0.01074,0.010516,0.010122,0.0080606,0.015503,0.024736,0.012396,0.013173,0.014393,0.012746,0.013102,0.012108,0.013629,0.010969,0.013911,0.011383,0.0055357,0.012936,0.014013,0.01609
AUT,0.013479,0.015378,0.024982,0.02218,0.027641,0.026108,0.025021,0.032175,0.022346,0.024481,0.025463,0.017333,0.017559,0.029907,0.025425,0.025834,0.030137,0.026387,0.011625,0.025493,0.032523,0.035609
HUN,0.0097926,0.014098,0.022872,0.023204,0.021719,0.014947,0.020113,0.035699,0.020933,0.02387,0.026218,0.020292,0.022258,0.024655,0.026575,0.020316,0.026794,0.021553,0.0083718,0.022519,0.024078,0.028567
MDA,0.0032437,0.0058578,0.0074657,0.0082677,0.0066912,0.0053634,0.0057237,0.011936,0.0099849,0.010327,0.010804,0.0067945,0.006782,0.0056325,0.008099,0.005674,0.0055259,0.004864,0.0044231,0.0063653,0.0046615,0.006108
ROU,0.030503,0.046829,0.062626,0.060857,0.051203,0.039354,0.035427,0.076174,0.055797,0.058697,0.069172,0.046262,0.051398,0.045736,0.055427,0.038526,0.046974,0.037274,0.027566,0.047677,0.041771,0.050325
CHE,0.0035194,0.0033599,0.0082691,0.0071766,0.014504,0.022417,0.017178,0.014525,0.013392,0.014932,0.015917,0.0071601,0.0024067,0.01991,0.014006,0.01174,0.017557,0.01473,0.011943,0.011731,0.015203,0.01805
LIE,0.000012447,0.000013968,0.000029917,0.000025678,0.000039141,0.000042888,0.000040606,0.000019572,0.000029261,0.000029869,0.000027558,0.000013754,0.00001271,0.000050911,0.000025399,0.000031499,0.00004636,0.000035535,0.000012209,0.000026095,0.000042959,0.000047293
FRA,0.00007586,0.000079417,0.00008112,0.000090247,0.00007173,0.000079182,0.000076105,0.000090872,0.000071306,0.000086611,0.00008661,0.000086058,0.000091828,0.00008962,0.000077141,0.000068537,0.000093221,0.00010507,0.00010806,0.000085264,0.000073352,0.000098419
ITA,0.050653,0.055809,0.086043,0.077388,0.096392,0.090166,0.092856,0.042791,0.083932,0.0772,0.073732,0.044698,0.05553,0.13578,0.060179,0.070917,0.10161,0.084631,0.039444,0.048176,0.073488,0.073313
