code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BEL,0.021315,0.019672,0.018033,0.018188,0.022912,0.031461,0.023656,0.023827,0.023128,0.026785,0.021076,0.022995,0.016198,0.016482,0.015624,0.017129,0.016602,0.019886,0.020573,0.023043,0.023442,0.027889
FRA,0.1372,0.13894,0.15047,0.14659,0.21906,0.3649,0.23761,0.23378,0.19105,0.18063,0.16893,0.15011,0.14242,0.16939,0.14451,0.14842,0.16374,0.23197,0.22944,0.20375,0.21666,0.24424
CZE,0.01024,0.012669,0.022093,0.020114,0.024214,0.02354,0.023887,0.048024,0.019325,0.026091,0.026636,0.020134,0.019407,0.028145,0.027935,0.023416,0.027042,0.025883,0.013774,0.029248,0.03479,0.038287
LUX,0.0032193,0.0028345,0.00096821,0.00073241,0.0014045,0.001988,0.0014129,0.0015923,0.0013799,0.0017273,0.0013374,0.0010922,0.00071123,0.0013357,0.001254,0.00099959,0.0009941,0.0010094,0.00078848,0.0012338,0.0014085,0.0017403
SVK,0.0040588,0.0062122,0.011258,0.011025,0.010609,0.0084573,0.016302,0.026051,0.013079,0.01391,0.015221,0.013502,0.013898,0.01287,0.014503,0.011687,0.014846,0.012161,0.0059106,0.013818,0.014964,0.017187
AUT,0.014353,0.01637,0.026604,0.023622,0.029457,0.027868,0.026685,0.034358,0.023823,0.026121,0.02716,0.018485,0.018712,0.031915,0.027163,0.027595,0.032188,0.028202,0.012445,0.027272,0.034778,0.038085
HUN,0.010065,0.014504,0.023538,0.02388,0.022338,0.015377,0.020723,0.036838,0.021566,0.024594,0.027025,0.020931,0.02295,0.025396,0.027396,0.020938,0.027619,0.02221,0.0086425,0.02323,0.024822,0.029457
MDA,0.0032541,0.0058779,0.0074914,0.0082984,0.0067162,0.0053824,0.0057448,0.011976,0.010026,0.010369,0.010846,0.0068169,0.0068054,0.0056531,0.0081287,0.0056949,0.0055446,0.0048787,0.0044375,0.0063869,0.0046748,0.0061275
ROU,0.030801,0.047201,0.063097,0.061296,0.051594,0.03961,0.035669,0.076487,0.056133,0.058997,0.069432,0.04646,0.051619,0.045911,0.055599,0.03866,0.04709,0.037354,0.027657,0.047766,0.04186,0.050413
CHE,0.0036172,0.0034516,0.0085028,0.0073787,0.014926,0.023076,0.017673,0.014943,0.013768,0.015342,0.016361,0.0073522,0.0024584,0.020439,0.014375,0.012033,0.018003,0.015098,0.012263,0.012016,0.015568,0.018487
LIE,0.000012459,0.000013982,0.000029946,0.000025703,0.00003918,0.00004293,0.000040646,0.000019591,0.000029289,0.000029898,0.000027585,0.000013767,0.000012723,0.00005096,0.000025423,0.000031529,0.000046405,0.00003557,0.000012221,0.00002612,0.000043001,0.000047339
FRA,0.000082182,0.000086036,0.00008788,0.000097768,0.000077707,0.00008578,0.000082447,0.000098445,0.000077249,0.000093828,0.000093827,0.000093229,0.00009948,0.000097089,0.000083569,0.000074249,0.00010099,0.00011383,0.00011707,0.000092369,0.000079465,0.00010662
ITA,0.05756,0.063239,0.097003,0.087445,0.10857,0.10232,0.10525,0.050395,0.09609,0.088567,0.084245,0.051678,0.064049,0.15529,0.07003,0.08213,0.11741,0.098258,0.046691,0.056689,0.085367,0.085258
SVN,0.0042888,0.005,0.0074946,0.006495,0.007741,0.0055971,0.0059048,0.0047841,0.0062326,0.0061704,0.0066951,0.0045553,0.004867,0.0073871,0.0055879,0.0057248,0.0071023,0.0056784,0.0017465,0.0051347,0.0068588,0.007518
HRV,0.0090161,0.012888,0.021724,0.018512,0.020978,0.011428,0.014184,0.0040151,0.015371,0.015269,0.017197,0.012877,0.017825,0.029927,0.017199,0.017546,0.024123,0.01691,0.0034937,0.014193,0.019119,0.022056
SRB,0.01501,0.022233,0.032591,0.029237,0.025208,0.014925,0.014914,0.016045,0.024508,0.026397,0.026883,0.020439,0.026915,0.033785,0.02669,0.020371,0.029769,0.021231,0.0090557,0.022856,0.023587,0.026757
UZB,0.022537,0.032372,0.03824,0.03033,0.035711,0.044624,0.030589,0.061921,0.038072,0.037091,0.044585,0.047288,0.049532,0.02297,0.052816,0.043877,0.044951,0.049715,0.044238,0.050301,0.041576,0.044064
JPN,0.072892,0.079655,0.065421,0.045854,0.036248,0.038971,0.052016,0.045047,0.052841,0.062517,0.058099,0.059142,0.058371,0.059184,0.070657,0.060144,0.05852,0.055187,0.055141,0.059103,0.057871,0.061411
BIH,0.0068846,0.01074,0.016793,0.014356,0.014372,0.0069967,0.0084764,0.003665,0.011761,0.013118,0.013549,0.010388,0.013618,0.023309,0.014791,0.012287,0.018435,0.012025,0.0027182,0.010576,0.012718,0.014922
BGR,0.015578,0.025411,0.03471,0.030959,0.025273,0.021515,0.018076,0.021853,0.032431,0.028559,0.032401,0.019119,0.025537,0.023101,0.024533,0.016701,0.02238,0.018917,0.016367,0.024161,0.021189,0.024879
