code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
FRA,0.15532,0.18538,0.18281,0.14345,0.13578,0.15163,0.14324,0.12405,0.13715,0.12022,0.12031,0.14249,0.13546,0.091758,0.086183,0.10202,0.098841,0.092906,0.091875,0.093194,0.063353,0.097983
CZE,0.019306,0.024067,0.023584,0.017843,0.018008,0.02369,0.021351,0.015645,0.01863,0.013885,0.013025,0.014707,0.013763,0.010237,0.010653,0.011033,0.0095463,0.010291,0.01035,0.0114,0.007064,0.0091671
LUX,0.0017452,0.0024403,0.0023812,0.0019054,0.0019691,0.0021499,0.0021353,0.0015052,0.0017137,0.001729,0.0016095,0.0021584,0.0015453,0.00081156,0.00074478,0.00098425,0.00071561,0.0009856,0.00095323,0.0008914,0.00044968,0.0007064
SVK,0.010776,0.012364,0.011407,0.0084208,0.0088385,0.011631,0.010295,0.0083488,0.0080776,0.0093326,0.0086435,0.0099471,0.0083229,0.0069213,0.0058545,0.0059251,0.0058702,0.0060583,0.0062788,0.0057625,0.0051679,0.0065729
AUT,0.019435,0.021032,0.020352,0.016948,0.017462,0.021485,0.01946,0.015748,0.0173,0.014327,0.01392,0.012228,0.012082,0.011003,0.011473,0.01057,0.01149,0.010557,0.010542,0.0085296,0.0052773,0.010735
HUN,0.020422,0.021589,0.017832,0.012365,0.013618,0.019756,0.01627,0.012588,0.013525,0.013926,0.012177,0.011484,0.010825,0.010819,0.010198,0.012983,0.010574,0.0083606,0.011135,0.0081446,0.0073172,0.011035
MDA,0.0056309,0.0058664,0.0049688,0.0038475,0.0041327,0.0054923,0.004206,0.0038451,0.0042411,0.0045152,0.004254,0.0041574,0.0035846,0.0045834,0.0046668,0.0039625,0.0046512,0.0049579,0.005692,0.003503,0.0040908,0.0045539
ROU,0.041724,0.045783,0.037711,0.02651,0.028588,0.039387,0.03137,0.024966,0.03006,0.031485,0.02509,0.025602,0.023769,0.028469,0.027655,0.022627,0.028548,0.023284,0.032771,0.019935,0.022253,0.027407
CHE,0.0096461,0.0099883,0.0099367,0.0077633,0.0078816,0.0091944,0.0083535,0.0073465,0.0070903,0.0068307,0.0066182,0.005989,0.006109,0.0054149,0.0056726,0.0055653,0.0061063,0.0050234,0.0047679,0.0027236,0.0015124,0.0080541
LIE,0.000029423,0.00002989,0.000030435,0.000024033,0.000024716,0.000028779,0.000026826,0.000023117,0.000022525,0.000021905,0.000021217,0.000019338,0.000018997,0.00001655,0.0000183,0.000017748,0.000018634,0.000016388,0.000015473,0.0000080463,0.0000042232,0.00002679
FRA,0.0000072741,0.0000075548,0.0000071965,0.0000078349,0.0000079359,0.000007571,0.0000070748,0.000007584,0.0000082152,0.0000077367,0.0000070256,0.0000068699,0.0000068329,0.0000078022,0.0000078979,0.0000078947,0.0000073879,0.0000079892,0.0000078527,0.0000079126,0.0000075977,0.0000070584
ITA,0.082376,0.079773,0.07806,0.070955,0.073591,0.079666,0.078879,0.0713,0.075713,0.071144,0.070589,0.061149,0.058172,0.058943,0.061795,0.057579,0.05995,0.056322,0.059349,0.043468,0.036602,0.062403
SVN,0.0044742,0.0044624,0.0041666,0.0038084,0.0039918,0.0047757,0.0042916,0.003657,0.0039322,0.0033999,0.0033685,0.0024606,0.0025157,0.0026877,0.0027111,0.0022423,0.0028631,0.0024508,0.0024928,0.0018113,0.0012062,0.0020951
HRV,0.013521,0.013315,0.012181,0.010741,0.011446,0.013791,0.012438,0.010476,0.011461,0.010226,0.0099525,0.0078894,0.007895,0.0085556,0.0085042,0.0078781,0.008715,0.0075303,0.0083712,0.0062064,0.004716,0.0071624
SRB,0.017468,0.01791,0.015199,0.011021,0.012899,0.016571,0.013635,0.011091,0.013529,0.011974,0.011497,0.0099491,0.0097873,0.012079,0.011896,0.012784,0.01199,0.010015,0.01327,0.0097069,0.0089793,0.011639
UZB,0.016706,0.01665,0.016835,0.01639,0.014668,0.016846,0.017108,0.013706,0.011029,0.01089,0.011719,0.012682,0.013093,0.016566,0.01257,0.013757,0.018767,0.017653,0.01392,0.014616,0.014708,0.014467
JPN,0.10295,0.11375,0.10975,0.099378,0.097173,0.10698,0.10017,0.087627,0.087214,0.087904,0.098791,0.090571,0.086826,0.085152,0.085447,0.088887,0.095161,0.087793,0.092008,0.092157,0.089636,0.092153
BIH,0.0098452,0.0098845,0.0087206,0.0070438,0.0078002,0.0097148,0.0083935,0.0069611,0.0079665,0.0070975,0.0068517,0.0056548,0.0056142,0.0064359,0.0063855,0.0064228,0.0064899,0.0054993,0.0066824,0.0049178,0.0041461,0.0058137
BGR,0.026085,0.028255,0.022991,0.017926,0.02192,0.023995,0.024254,0.01849,0.022732,0.020803,0.020121,0.017159,0.016809,0.024772,0.018594,0.01608,0.020501,0.01958,0.023429,0.017055,0.017595,0.018434
ESP,0.10521,0.12894,0.098826,0.071872,0.078448,0.087492,0.089588,0.072529,0.064167,0.062148,0.072766,0.071407,0.064351,0.060117,0.0603,0.062164,0.069502,0.060496,0.066427,0.066886,0.053827,0.070625
GEO,0.0071836,0.0067508,0.00626,0.0059716,0.0062343,0.0064371,0.0061366,0.005963,0.0052658,0.0053965,0.0059673,0.0052031,0.0057177,0.0058656,0.0055783,0.0061617,0.0063328,0.0065413,0.0058833,0.0061701,0.0066105,0.0065214
KGZ,0.0080179,0.0074694,0.0076167,0.0068219,0.0061003,0.0066899,0.0062729,0.0060958,0.005588,0.00576,0.0059516,0.0066004,0.0063862,0.0085582,0.006397,0.0062588,0.0073718,0.0075287,0.0063497,0.0073509,0.0073963,0.0073733
PRK,0.027589,0.033935,0.028014,0.024071,0.024049,0.026336,0.028652,0.017316,0.016314,0.017233,0.018714,0.01953,0.017301,0.017854,0.017572,0.018993,0.022774,0.018828,0.018385,0.023608,0.021971,0.024212
AND,0.000084532,0.000092238,0.000086506,0.000061848,0.000064336,0.000068603,0.00006655,0.000063526,0.000050551,0.000048085,0.00006004,0.000059682,0.000055673,0.000049706,0.000049613,0.000053467,0.000065758,0.000052095,0.000052235,0.00004503,0.000031294,0.000051092
ALB,0.0040019,0.0039316,0.0036844,0.003131,0.0037579,0.0039206,0.0033776,0.0030621,0.0040309,0.0030773,0.0033633,0.0027205,0.0027319,0.0037983,0.0038504,0.0032255,0.0037845,0.0034845,0.0041936,0.0031962,0.0029135,0.0033364
TKM,0.022626,0.023647,0.02518,0.02413,0.02202,0.02445,0.024858,0.020977,0.016586,0.016881,0.018543,0.021638,0.020027,0.022793,0.019375,0.021229,0.025375,0.023773,0.021691,0.025481,0.025995,0.025348
MKD,0.0035557,0.00356,0.0032609,0.0026966,0.0032515,0.0034451,0.0030391,0.0026506,0.0034694,0.0027167,0.0029259,0.0023542,0.0023524,0.0033573,0.0032505,0.002711,0.0032609,0.0029822,0.0036265,0.0027158,0.0025118,0.0028606
TUR,0.12043,0.11367,0.10077,0.094045,0.10024,0.10907,0.10694,0.095463,0.096227,0.091279,0.10333,0.089296,0.094458,0.11468,0.10343,0.10937,0.11055,0.11192,0.11165,0.10891,0.11245,0.1095
PRT,0.015422,0.019399,0.017699,0.016141,0.014775,0.017074,0.015962,0.014087,0.016058,0.015758,0.015688,0.017647,0.016567,0.016237,0.014264,0.015584,0.016036,0.014049,0.01517,0.015657,0.014938,0.015511
AZE,0.0082654,0.0078562,0.0075454,0.0077089,0.0080188,0.0079553,0.0081943,0.0068706,0.0059909,0.0063091,0.0070074,0.0066793,0.0071205,0.0081364,0.0074649,0.0078123,0.0086144,0.008726,0.0081156,0.009698,0.010458,0.010069
GRC,0.028417,0.02882,0.024133,0.023452,0.028337,0.027048,0.026374,0.024953,0.029918,0.025283,0.025414,0.023769,0.023468,0.029,0.026734,0.02486,0.026601,0.027629,0.029031,0.024645,0.024451,0.024659
ARM,0.0024156,0.002297,0.0021652,0.0019775,0.0021261,0.0021995,0.0022553,0.0018772,0.0016185,0.0017182,0.0019241,0.0016148,0.0019281,0.0020608,0.001947,0.0021115,0.0022616,0.0023525,0.0021272,0.0023606,0.0026337,0.0025336
TJK,0.0057895,0.0049882,0.0046689,0.0050098,0.0047481,0.0050948,0.0052059,0.0049446,0.0045687,0.0044433,0.0045022,0.0047194,0.0048015,0.0056048,0.0046347,0.0045507,0.0056083,0.005045,0.0045844,0.005151,0.0052359,0.0050866
IRN,0.089456,0.092441,0.083154,0.092715,0.093852,0.10278,0.1049,0.092095,0.081754,0.085149,0.1009,0.096316,0.097387,0.10337,0.096666,0.10543,0.11381,0.10886,0.10353,0.11028,0.11356,0.10912
KOR,0.040775,0.046397,0.041934,0.03737,0.036868,0.040949,0.043367,0.029589,0.025775,0.028162,0.029757,0.028865,0.026242,0.026831,0.02679,0.028727,0.030958,0.028901,0.028473,0.031209,0.030181,0.031662
AFG,0.048595,0.043913,0.042488,0.041959,0.043874,0.048313,0.049792,0.042785,0.03928,0.035877,0.037813,0.038653,0.041431,0.046018,0.035995,0.041943,0.047924,0.039584,0.04191,0.047126,0.04755,0.044137
TUN,0.018136,0.015838,0.016814,0.012229,0.012688,0.015528,0.016858,0.017816,0.016309,0.012794,0.01272,0.012803,0.011805,0.015836,0.014734,0.015027,0.014522,0.014974,0.018306,0.016238,0.015645,0.015779
IRQ,0.033882,0.033206,0.030528,0.031774,0.034713,0.039939,0.038294,0.033045,0.031742,0.032989,0.035229,0.032982,0.036088,0.040323,0.03705,0.043442,0.039623,0.038567,0.036804,0.037829,0.038882,0.037172
SYR,0.02283,0.021766,0.01952,0.017791,0.020863,0.023812,0.022483,0.01996,0.020204,0.018398,0.020484,0.018089,0.019427,0.024132,0.022781,0.02461,0.02247,0.023535,0.021691,0.022361,0.022588,0.022137
DZA,0.043309,0.039656,0.041035,0.041241,0.050465,0.049863,0.050213,0.046576,0.045591,0.038634,0.042803,0.045216,0.044494,0.047656,0.048091,0.042595,0.045144,0.046501,0.045327,0.045872,0.043875,0.044121
PAK,0.1203,0.097367,0.085761,0.087458,0.08971,0.10388,0.094804,0.08333,0.083139,0.086295,0.09848,0.091683,0.092439,0.10078,0.085984,0.11527,0.11086,0.089178,0.1035,0.10813,0.10562,0.097835
MLT,0.000091127,0.000082139,0.000093394,0.000097587,0.00010435,0.000098695,0.00011107,0.00011288,0.00010363,0.000092101,0.000098539,0.000076854,0.000077778,0.000080737,0.000086643,0.000098462,0.00009745,0.000086126,0.00010008,0.000092934,0.000090429,0.000091344
MAR,0.041934,0.035516,0.02495,0.020653,0.02607,0.030575,0.037039,0.02964,0.024693,0.024574,0.028343,0.028519,0.024689,0.032111,0.027422,0.032513,0.031475,0.034467,0.031026,0.035115,0.033377,0.033399
CYP,0.0059517,0.0061586,0.0058325,0.0059932,0.0068961,0.0081306,0.0062746,0.0058377,0.0068803,0.0065583,0.0065377,0.0069318,0.0075516,0.0088426,0.0085544,0.0098011,0.011318,0.00911,0.0088299,0.0097682,0.0096322,0.009549
IND,1.2014,0.97823,0.81048,0.88717,0.84057,0.97612,0.91118,0.80941,0.89683,0.8307,1.009,0.85561,0.87443,0.89468,0.87871,1.073,1.1962,0.94863,0.99072,0.89982,0.91052,0.78249
LBN,0.0021903,0.0022031,0.0019683,0.0019198,0.0023331,0.0024164,0.0023597,0.0022921,0.0024258,0.0021051,0.0022587,0.0020189,0.0020701,0.0024702,0.0023601,0.0025086,0.0024244,0.0025935,0.0022479,0.0021377,0.0021023,0.0020722
JOR,0.0064132,0.0061691,0.0059167,0.0059028,0.0064698,0.007416,0.0068922,0.0068402,0.0071502,0.0064046,0.0067704,0.0064396,0.0067093,0.0076989,0.0070937,0.0080669,0.007085,0.0080482,0.0074924,0.006986,0.0069185,0.0068218
ISR,0.0027852,0.002714,0.0025576,0.0025392,0.0028678,0.003133,0.0029686,0.0029966,0.0031548,0.0027659,0.0029478,0.0027306,0.0028275,0.003213,0.0029895,0.0033594,0.0030914,0.0034681,0.0031526,0.0028886,0.0028428,0.0028095
LBY,0.013052,0.011796,0.013944,0.01423,0.015842,0.014887,0.016709,0.017702,0.016306,0.014004,0.01492,0.014524,0.015087,0.017696,0.019313,0.020568,0.019229,0.018098,0.020806,0.019359,0.019164,0.018848
MEX,0.35516,0.33112,0.29404,0.33875,0.33394,0.34882,0.27734,0.29001,0.32248,0.31216,0.29747,0.30404,0.32623,0.30928,0.28881,0.30995,0.32609,0.32132,0.37445,0.37286,0.3585,0.34585
SAU,0.068693,0.065387,0.05167,0.062851,0.055007,0.049273,0.066671,0.070847,0.05269,0.044077,0.04231,0.038753,0.045022,0.047642,0.054121,0.052138,0.047458,0.043519,0.047206,0.049292,0.04902,0.047632
EGY,0.037815,0.036749,0.035983,0.037288,0.035652,0.040906,0.034085,0.037262,0.040102,0.041039,0.043855,0.044186,0.045745,0.058656,0.049267,0.06165,0.061799,0.055574,0.060595,0.065828,0.062649,0.06028
NPL,0.051514,0.041978,0.036757,0.036871,0.041696,0.041052,0.038594,0.036612,0.036292,0.0318,0.043824,0.03645,0.036894,0.037051,0.036657,0.044982,0.061016,0.041475,0.039018,0.033333,0.033569,0.028554
KWT,0.0015542,0.0014897,0.0012343,0.0014851,0.0013886,0.0016024,0.0015766,0.0014901,0.001461,0.0014839,0.0016851,0.001514,0.0016065,0.0016728,0.0017366,0.0018235,0.0018006,0.0017734,0.0017144,0.0016556,0.0016446,0.0016025
MMR,0.1187,0.12038,0.11521,0.15333,0.13438,0.14739,0.12501,0.1016,0.12886,0.16087,0.13345,0.13521,0.13735,0.11232,0.14532,0.16788,0.13492,0.14206,0.14194,0.13803,0.13668,0.12567
BTN,0.01549,0.012866,0.010483,0.011669,0.013806,0.012441,0.013094,0.010357,0.011147,0.01185,0.013522,0.013308,0.012855,0.011874,0.014524,0.016078,0.018168,0.012908,0.012345,0.010854,0.011358,0.0090747
ESH,0.00056373,0.00050844,0.00044668,0.00043476,0.00048234,0.00056781,0.0006664,0.00058691,0.00048725,0.00048503,0.00069604,0.00077647,0.00069668,0.00080557,0.00068007,0.00068362,0.00071404,0.00081711,0.00085073,0.00082483,0.00080099,0.00075558
MRT,0.022559,0.016449,0.021982,0.025009,0.028257,0.019258,0.019148,0.023355,0.028627,0.019736,0.019605,0.017496,0.017956,0.019744,0.01853,0.021634,0.016877,0.02091,0.020728,0.019696,0.020283,0.019087
BHS,0.0044565,0.0044013,0.0045631,0.0047699,0.0044662,0.0047533,0.0043583,0.0044859,0.0047007,0.0045029,0.0041203,0.0044396,0.0043434,0.0044478,0.0045437,0.0042988,0.0042713,0.004362,0.0043589,0.0045045,0.0044548,0.0044184
BGD,0.070057,0.062724,0.053202,0.056664,0.06569,0.062283,0.060414,0.052722,0.055525,0.058329,0.065589,0.065242,0.062124,0.059697,0.07066,0.077518,0.084489,0.063534,0.063909,0.059437,0.060677,0.050684
OMN,0.0028241,0.0030665,0.002736,0.002784,0.0025417,0.0025834,0.0029359,0.0033111,0.0033473,0.0035332,0.0038311,0.0036651,0.0037154,0.003431,0.0034664,0.0039833,0.0041351,0.0040955,0.0042653,0.0039944,0.0039772,0.0036314
BHR,0.000027412,0.000032993,0.000027619,0.000030533,0.000031932,0.000027779,0.000030197,0.000030112,0.0000315,0.000031674,0.000034597,0.000032195,0.000032401,0.000033525,0.000037592,0.000039224,0.000037827,0.000037727,0.000037624,0.000037863,0.000037746,0.000036526
QAT,0.00032502,0.0003912,0.00032749,0.00036203,0.00037862,0.00032937,0.00035805,0.00035705,0.0003735,0.00037557,0.00041022,0.00038174,0.00038419,0.00039751,0.00044574,0.00046508,0.00044852,0.00044733,0.00044612,0.00044894,0.00044756,0.00043309
ARE,0.0019251,0.0027266,0.0018249,0.0020515,0.0017964,0.0018022,0.0022286,0.002409,0.0023328,0.0023327,0.0030493,0.0026219,0.0026679,0.0023447,0.002549,0.0037735,0.0041185,0.0033391,0.003405,0.0031084,0.0031023,0.0030066
CHN,0.011483,0.011561,0.011116,0.011039,0.010946,0.011161,0.01154,0.013303,0.013261,0.01426,0.014574,0.015082,0.015591,0.01481,0.015809,0.015205,0.016021,0.014831,0.015006,0.016551,0.016512,0.016229
MLI,0.11675,0.083129,0.090355,0.11466,0.13908,0.088291,0.10536,0.096965,0.13674,0.1067,0.098495,0.087126,0.081689,0.10213,0.095443,0.11639,0.09176,0.11464,0.10834,0.098158,0.10312,0.093192
NER,0.052376,0.059545,0.070425,0.067497,0.070713,0.041232,0.045082,0.04784,0.060972,0.053099,0.046928,0.038958,0.042041,0.051296,0.044941,0.05762,0.045739,0.059428,0.048317,0.051806,0.052647,0.049603
TCD,0.20554,0.13556,0.12163,0.17394,0.18714,0.15077,0.16063,0.16284,0.20323,0.18751,0.16963,0.13547,0.15301,0.15714,0.12562,0.18398,0.15469,0.16347,0.15952,0.14875,0.14876,0.12907
VNM,0.080579,0.073446,0.083018,0.098874,0.078133,0.10001,0.080128,0.079177,0.094578,0.097092,0.092603,0.094284,0.095955,0.081005,0.10084,0.11289,0.098581,0.11132,0.1133,0.10877,0.10753,0.10051
CUB,0.037047,0.03298,0.036982,0.037952,0.03387,0.034061,0.031498,0.03398,0.034733,0.034588,0.028919,0.032554,0.033253,0.032975,0.032235,0.027932,0.026292,0.030426,0.027895,0.033016,0.032354,0.032051
SDN,0.49682,0.37049,0.31633,0.39229,0.38373,0.35507,0.36273,0.39173,0.46443,0.34756,0.43042,0.32559,0.45619,0.48015,0.38695,0.5142,0.43165,0.41461,0.43558,0.39659,0.38254,0.34303
LAO,0.058203,0.052212,0.060195,0.075586,0.059483,0.075655,0.058217,0.052586,0.065131,0.075624,0.068504,0.06322,0.067659,0.051703,0.06603,0.08233,0.065707,0.070908,0.077018,0.072055,0.071019,0.063889
CHN,0.0008297,0.00087512,0.00077264,0.00083708,0.00085509,0.0008695,0.00086318,0.00084543,0.00082344,0.00097728,0.00096275,0.00099286,0.00099126,0.00097229,0.0010388,0.00094678,0.001027,0.00092753,0.0010429,0.0010599,0.0010692,0.0010023
GBR,0.0014682,0.001423,0.0013184,0.0013454,0.0014461,0.0014338,0.0014681,0.0016087,0.001558,0.001644,0.0016252,0.0015334,0.0013248,0.0012825,0.0017126,0.0012841,0.0012833,0.001675,0.0018609,0.001786,0.0017804,0.0017017
THA,0.16208,0.14695,0.16184,0.18512,0.15862,0.19575,0.15604,0.15123,0.17622,0.19213,0.17935,0.16846,0.1837,0.14679,0.17844,0.20976,0.18505,0.18196,0.19881,0.17975,0.17634,0.15858
HTI,0.0061884,0.0061511,0.0068504,0.0064955,0.0065689,0.0065275,0.006988,0.0072777,0.0070012,0.0071381,0.006658,0.006952,0.0060406,0.0062031,0.0070363,0.0058239,0.0056776,0.0070097,0.0069951,0.0074862,0.0073998,0.0072457
DOM,0.0099831,0.009292,0.0096512,0.0087752,0.0097547,0.0093583,0.010296,0.010222,0.0098575,0.010682,0.010139,0.0095212,0.0086975,0.0086237,0.0098699,0.0089411,0.0084029,0.010227,0.01132,0.011789,0.011572,0.011389
PHL,0.037451,0.040259,0.044468,0.04165,0.034641,0.038144,0.040992,0.044493,0.042915,0.043131,0.041199,0.040676,0.040089,0.036331,0.038581,0.041059,0.035725,0.03966,0.040351,0.044433,0.043946,0.04306
YEM,0.01276,0.013278,0.012812,0.01341,0.010422,0.01019,0.010357,0.011899,0.012249,0.012967,0.010855,0.011069,0.010432,0.010231,0.010346,0.011807,0.014299,0.013853,0.012049,0.012346,0.012301,0.011803
JAM,0.0025503,0.0024075,0.0029324,0.0028104,0.002601,0.0028593,0.0027043,0.0031204,0.0028424,0.0031933,0.0027065,0.0031149,0.0026602,0.0026901,0.0029391,0.002313,0.002347,0.0028233,0.0026877,0.0028805,0.0028646,0.0027292
BLZ,0.0066344,0.0059416,0.0063726,0.0078909,0.0058497,0.0098971,0.0057808,0.0062383,0.0082589,0.0068416,0.0065467,0.0055124,0.006866,0.0063145,0.004706,0.0059617,0.0056961,0.0072549,0.006481,0.0068379,0.0062707,0.0060888
USA,0.00096198,0.0011259,0.0011879,0.00077385,0.00088853,0.0010447,0.00095392,0.00099087,0.00082207,0.00088706,0.00090481,0.00081154,0.00093733,0.00091483,0.00079887,0.00091631,0.00076528,0.0010449,0.00080567,0.0011006,0.0010886,0.001027
KHM,0.069267,0.05985,0.068042,0.071961,0.060796,0.0817,0.071082,0.06948,0.078661,0.089075,0.071695,0.071328,0.080727,0.069307,0.07425,0.088392,0.085282,0.086269,0.093451,0.081259,0.078045,0.072135
GBR,0.000023274,0.00002724,0.000028739,0.000018722,0.000021497,0.000025275,0.000023079,0.000023973,0.000019889,0.000021461,0.000021891,0.000019634,0.000022677,0.000022133,0.000019327,0.000022169,0.000018515,0.000025281,0.000019492,0.000026628,0.000026336,0.000024848
NLD,0.00059462,0.00052786,0.00060459,0.00055261,0.00055773,0.00057828,0.00051514,0.0005787,0.00055868,0.00061852,0.00068808,0.00056202,0.00035515,0.00048181,0.00066006,0.00040802,0.00073299,0.00066619,0.00058542,0.00055509,0.00055372,0.00052097
ERI,0.0091424,0.0091719,0.01022,0.010489,0.0081472,0.0084754,0.009789,0.0097949,0.012762,0.0079534,0.0091551,0.0074961,0.0076132,0.0069156,0.0082556,0.010069,0.0099785,0.010887,0.011831,0.010204,0.010139,0.0097078
GTM,0.025539,0.021917,0.024687,0.029437,0.022869,0.032171,0.022237,0.024515,0.029916,0.026082,0.025838,0.021379,0.026391,0.025029,0.022636,0.025599,0.022945,0.026242,0.024183,0.025955,0.024601,0.023707
