code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,0.050313,0.078114,0.10144,0.075849,0.091142,0.12358,0.091035,0.091508,0.10763,0.09221,0.10563,0.0967,0.11144,0.065703,0.13005,0.084511,0.097343,0.11968,0.10059,0.12347,0.10535,0.10028
TUN,0.0088691,0.013075,0.014166,0.013871,0.012882,0.0068058,0.013488,0.0085313,0.010229,0.013075,0.0091504,0.0080839,0.017128,0.023806,0.012243,0.0043029,0.01265,0.016524,0.015162,0.01203,0.015711,0.0061396
IRQ,0.037889,0.048348,0.050854,0.049797,0.05226,0.06496,0.059526,0.065212,0.059265,0.055367,0.06316,0.049904,0.063093,0.040392,0.075577,0.059856,0.058988,0.073543,0.064506,0.076883,0.073226,0.069036
SYR,0.015606,0.019271,0.017,0.020539,0.017942,0.023515,0.024034,0.021731,0.02318,0.020121,0.024647,0.016091,0.023603,0.013899,0.030989,0.022832,0.018926,0.02786,0.024587,0.031506,0.030763,0.028178
DZA,0.035752,0.068955,0.068345,0.085408,0.064073,0.020914,0.056488,0.051914,0.046545,0.065266,0.045123,0.05604,0.11319,0.10359,0.060094,0.0065728,0.088953,0.082348,0.086714,0.057897,0.09168,0.025008
PAK,0.12201,0.16328,0.19923,0.16823,0.19109,0.23255,0.188,0.18786,0.21471,0.1994,0.22767,0.20104,0.22402,0.16019,0.27336,0.19233,0.18901,0.2422,0.21318,0.25624,0.23687,0.21346
MLT,0.00035339,0.00038462,0.00042783,0.00041038,0.00040958,0.00034441,0.00038519,0.00031569,0.0004569,0.00042668,0.00015188,0.00022336,0.00033754,0.00033167,0.00036833,0.00033367,0.00024,0.00025659,0.00039552,0.00035966,0.00037148,0.00035411
MAR,0.035555,0.053035,0.052841,0.073467,0.063643,0.045502,0.052967,0.046777,0.046242,0.06104,0.041217,0.05977,0.090027,0.049048,0.054442,0.026869,0.075443,0.062298,0.078341,0.051509,0.087581,0.038181
CYP,0.0042629,0.0095348,0.0045435,0.0071424,0.0058518,0.0052735,0.0062605,0.0052689,0.0056252,0.0061794,0.0055983,0.0054564,0.0074424,0.006155,0.0064868,0.006409,0.0066059,0.0070588,0.0072577,0.0051123,0.0051346,0.0051511
IND,0.67735,0.74061,0.93148,0.73525,0.84532,0.99303,0.87215,0.93793,0.99963,0.92868,1.0356,0.9334,0.99307,0.81146,1.1342,0.89995,0.96435,1.0662,0.91813,1.133,1.1055,0.99752
LBN,0.0023746,0.0026421,0.00256,0.0033879,0.0029924,0.0029459,0.0028596,0.0030144,0.0029254,0.0027612,0.0029367,0.0025532,0.0031306,0.0025494,0.0033095,0.0027969,0.0024795,0.0030037,0.0026548,0.0029354,0.0029982,0.0029808
JOR,0.0022525,0.0029436,0.0010173,0.0017847,0.0005033,0.0013917,0.0026253,0.001956,0.0019981,0.00091486,0.0031128,0.000394,0.0016815,-0.00054154,0.0052647,0.0024595,0.00049347,0.0046864,0.0038487,0.0063656,0.0064734,0.0039111
ISR,0.0068373,0.0068524,0.0058456,0.0081065,0.0068991,0.0060876,0.0069044,0.0066427,0.0065062,0.0054913,0.0070538,0.0061363,0.0072643,0.0059156,0.0093658,0.0071831,0.0056277,0.0081849,0.0072843,0.0086391,0.0090544,0.0077903
LBY,0.0087264,0.014128,0.013628,0.016192,0.01233,0.0077679,0.012706,0.0061408,0.012766,0.012373,0.012075,0.0097181,0.016374,0.017211,0.014716,0.0079304,0.010238,0.013951,0.014159,0.014579,0.018694,0.014762
MEX,0.43579,0.54866,0.6677,0.5924,0.55533,0.60364,0.55823,0.46189,0.57834,0.44684,0.52848,0.5309,0.55266,0.44976,0.54126,0.50779,0.52709,0.60622,0.53678,0.56975,0.51263,0.51851
SAU,0.024636,0.02948,0.03171,0.027853,0.02596,0.034872,0.034168,0.037847,0.035617,0.031139,0.036989,0.02746,0.032479,0.021031,0.043108,0.03045,0.030094,0.04483,0.036561,0.043626,0.042924,0.040343
EGY,0.036729,0.037608,0.028465,0.032352,0.02827,0.02257,0.030496,0.018616,0.03201,0.022884,0.035118,0.023021,0.038304,0.024442,0.05402,0.037376,0.030999,0.050625,0.042343,0.061219,0.065804,0.050109
NPL,0.015299,0.021671,0.028937,0.020562,0.022858,0.032829,0.025767,0.02371,0.031281,0.024386,0.031174,0.026613,0.028811,0.018199,0.034093,0.023207,0.027916,0.031329,0.02371,0.033069,0.029388,0.025377
KWT,0.0042479,0.0029837,0.0037283,0.0027891,0.0030017,0.0031538,0.004175,0.0030965,0.0035891,0.0037161,0.0031599,0.0035594,0.0041711,0.0039616,0.0048631,0.0047514,0.0045259,0.004459,0.0043897,0.004214,0.0044022,0.0045356
MMR,0.10018,0.1159,0.16255,0.11323,0.13107,0.16706,0.13603,0.1521,0.18244,0.1472,0.18536,0.17575,0.16247,0.13752,0.19823,0.14553,0.16617,0.17293,0.16069,0.18632,0.17498,0.15821
BTN,0.0035954,0.0048948,0.0067309,0.0052054,0.0054024,0.0082103,0.0061962,0.0055313,0.0075568,0.0057968,0.0079821,0.0068322,0.0070239,0.004427,0.0080478,0.0059186,0.0066573,0.0076325,0.0065183,0.0078404,0.0072968,0.006436
ESH,0.0029974,0.0039862,0.0034169,0.0043188,0.0037655,0.0030915,0.0030315,0.0032982,0.0039442,0.003356,0.0033578,0.0036917,0.0036668,0.0027101,0.002943,0.0018516,0.0033478,0.0034008,0.004084,0.0040661,0.0040528,0.0038861
MRT,0.022392,0.053364,0.029631,0.054223,0.028217,-0.0015979,0.0058523,0.018587,0.040047,0.01041,0.022537,0.032897,0.0091161,-0.013286,0.00017982,-0.036723,0.0024518,0.0046213,0.0201,0.034771,0.032818,0.042639
BHS,0.0016416,0.0020482,0.0022019,0.0022219,0.0021204,0.0022805,0.0021042,0.001983,0.0021173,0.0019625,0.001949,0.0019265,0.0019868,0.0016899,0.0018687,0.0016888,0.0017107,0.002268,0.0021894,0.0024224,0.0022103,0.0020931
BGD,0.028433,0.029489,0.038618,0.037234,0.035683,0.043675,0.035061,0.036529,0.045587,0.040538,0.051091,0.043265,0.040858,0.041076,0.049801,0.036775,0.040244,0.04314,0.040009,0.044034,0.043628,0.040175
OMN,0.0063244,0.0066071,0.0070327,0.0063091,0.0066173,0.0072256,0.0068566,0.0067993,0.0070891,0.0073585,0.0074878,0.0072387,0.0073326,0.0066473,0.0076622,0.0070533,0.00755,0.0081123,0.0072089,0.0073281,0.0073012,0.007501
BHR,0.000023713,0.000034391,0.000042254,0.000033929,0.000033586,0.000045566,0.000037934,0.000044025,0.000047959,0.00004165,0.000048485,0.000040692,0.000048379,0.000036316,0.000057032,0.000044603,0.00005162,0.000059807,0.000050717,0.000056773,0.000054966,0.000056833
QAT,0.0028003,0.0026272,0.0035483,0.0031329,0.0030234,0.0033918,0.0030175,0.002675,0.0026487,0.0039291,0.0039301,0.0038258,0.0041626,0.0041577,0.0044552,0.0045286,0.0045583,0.0045017,0.0044848,0.0044901,0.0045008,0.0045391
ARE,0.0020211,0.0022651,0.0035903,0.0026913,0.0025606,0.0032696,0.0026405,0.002395,0.0024611,0.0034676,0.0034457,0.0028708,0.0032194,0.0028876,0.0036085,0.0033683,0.0035345,0.003836,0.0033416,0.0033009,0.003316,0.0034278
CHN,0.0035688,0.0041505,0.0034382,0.0033697,0.004759,0.0054416,0.0056814,0.0064199,0.0066944,0.0073019,0.0079234,0.0075665,0.0072574,0.0076082,0.0077358,0.0075938,0.0070529,0.0071881,0.0070914,0.0072909,0.0072341,0.0070203
MLI,0.096455,0.15434,0.12248,0.16184,0.10007,0.063072,0.055876,0.1011,0.14473,0.089801,0.10262,0.11175,0.075556,0.028218,0.065044,-0.018923,0.06104,0.068268,0.091638,0.116,0.12365,0.13658
NER,0.05614,0.097629,0.078235,0.1114,0.064074,0.044325,0.038417,0.059141,0.084964,0.055948,0.065574,0.055791,0.052721,0.015418,0.041841,-0.014061,0.039374,0.056829,0.056376,0.076617,0.079486,0.079636
TCD,0.1381,0.19217,0.17259,0.21165,0.18197,0.13249,0.13838,0.17443,0.19242,0.14397,0.16053,0.14309,0.15302,0.10498,0.15671,0.076663,0.12348,0.18616,0.15467,0.1855,0.1728,0.1868
VNM,0.032818,0.044477,0.05766,0.030809,0.050057,0.066091,0.056602,0.068515,0.071331,0.065659,0.087543,0.073597,0.071315,0.069454,0.099046,0.07315,0.081517,0.089425,0.078465,0.09661,0.095648,0.07839
CUB,0.023924,0.026762,0.025865,0.021489,0.021325,0.022388,0.022326,0.022894,0.0237,0.019719,0.022238,0.020681,0.023035,0.023311,0.018585,0.018478,0.019706,0.019266,0.021016,0.02202,0.021811,0.019979
SDN,0.33474,0.41114,0.39665,0.42417,0.36887,0.35372,0.34187,0.39195,0.38976,0.35894,0.40019,0.37349,0.39793,0.2973,0.47738,0.26201,0.35952,0.50879,0.37543,0.43644,0.43833,0.45157
LAO,0.018611,0.026662,0.041883,0.019376,0.03173,0.041925,0.033637,0.040617,0.04606,0.041054,0.054061,0.046945,0.041852,0.037848,0.064214,0.039263,0.046032,0.052827,0.044809,0.056982,0.054981,0.043058
CHN,0.00028811,0.00026359,0.00031762,0.00030563,0.00031382,0.0003288,0.00034387,0.00038916,0.00040046,0.00041556,0.00045491,0.00050872,0.00047624,0.00051342,0.0005096,0.00052054,0.00053356,0.00051115,0.00052153,0.00053669,0.00051417,0.00049296
GBR,0.00025458,0.0003653,0.00035423,0.00039834,0.00034303,0.00034809,0.00032548,0.00033215,0.00037101,0.00030652,0.00030496,0.00029955,0.00029517,0.00025937,0.00029102,0.00023229,0.00024602,0.00037681,0.00036574,0.0003983,0.00037089,0.00035414
THA,0.082584,0.094865,0.12563,0.090474,0.10486,0.12599,0.11417,0.12846,0.14577,0.13181,0.14935,0.14411,0.12852,0.12199,0.16328,0.12498,0.13539,0.15151,0.13609,0.16207,0.16143,0.13698
