code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BEL,0.020981,0.01935,0.017763,0.017906,0.022674,0.031243,0.023419,0.023531,0.022827,0.026485,0.020829,0.022647,0.016044,0.016332,0.015477,0.016985,0.016385,0.019667,0.020327,0.022798,0.023203,0.027636
FRA,0.13719,0.13894,0.15047,0.14659,0.21905,0.36488,0.2376,0.23377,0.19104,0.18061,0.16891,0.1501,0.14242,0.16937,0.1445,0.14841,0.16372,0.23196,0.22943,0.20374,0.21665,0.24423
CZE,0.01024,0.012669,0.022093,0.020114,0.024214,0.02354,0.023887,0.048024,0.019325,0.026091,0.026636,0.020134,0.019407,0.028145,0.027935,0.023416,0.027042,0.025883,0.013774,0.029248,0.03479,0.038287
LUX,0.0032193,0.0028345,0.00096821,0.00073241,0.0014045,0.001988,0.0014129,0.0015923,0.0013799,0.0017273,0.0013374,0.0010922,0.00071123,0.0013357,0.001254,0.00099959,0.0009941,0.0010094,0.00078848,0.0012338,0.0014085,0.0017403
SVK,0.0040588,0.0062122,0.011258,0.011025,0.010609,0.0084573,0.016302,0.026051,0.013079,0.01391,0.015221,0.013502,0.013898,0.01287,0.014503,0.011687,0.014846,0.012161,0.0059106,0.013818,0.014964,0.017187
AUT,0.014351,0.016367,0.026599,0.023617,0.02945,0.02786,0.026677,0.034353,0.023817,0.026115,0.027154,0.018482,0.01871,0.031906,0.027158,0.027589,0.03218,0.028195,0.012442,0.027266,0.03477,0.038075
HUN,0.010067,0.014507,0.023542,0.023885,0.022343,0.01538,0.020726,0.036844,0.02157,0.024599,0.02703,0.020935,0.022955,0.025401,0.027402,0.020942,0.027624,0.022215,0.008644,0.023234,0.024827,0.029463
MDA,0.0032541,0.0058779,0.0074914,0.0082984,0.0067162,0.0053824,0.0057448,0.011976,0.010026,0.010369,0.010846,0.0068169,0.0068054,0.0056531,0.0081287,0.0056949,0.0055446,0.0048787,0.0044375,0.0063869,0.0046748,0.0061275
ROU,0.030801,0.047202,0.063097,0.061296,0.051595,0.03961,0.035669,0.076487,0.056133,0.058997,0.069432,0.04646,0.05162,0.045911,0.055599,0.03866,0.04709,0.037354,0.027657,0.047766,0.04186,0.050413
CHE,0.0036209,0.0034549,0.0085123,0.0073868,0.014945,0.023106,0.017696,0.014962,0.013785,0.015361,0.016383,0.0073614,0.0024601,0.020466,0.014394,0.012048,0.018026,0.015117,0.01228,0.012031,0.015586,0.018509
