code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LUX,0.00082065,0.00088217,0.00071324,0.00076196,0.0003862,0.00052713,0.0005529,0.00044261,0.00066552,0.00066509,0.00066785,0.00089795,0.00076981,0.0007413,0.00058183,0.0008361,0.00050322,0.00064647,0.00080959,0.00074147
SVK,0.010006,0.0099191,0.010339,0.014065,0.011682,0.013974,0.014397,0.011524,0.011928,0.014168,0.01139,0.010082,0.0070872,0.010592,0.01132,0.01068,0.011276,0.010654,0.013071,0.011613
AUT,0.022683,0.022736,0.027574,0.036674,0.023405,0.031688,0.036913,0.027749,0.030886,0.040632,0.029778,0.026706,0.020059,0.026855,0.033253,0.0329,0.030621,0.023878,0.034685,0.028285
HUN,0.018216,0.01809,0.018734,0.025472,0.021431,0.025418,0.026035,0.021041,0.021582,0.025606,0.020941,0.017915,0.012883,0.019409,0.020791,0.019364,0.020576,0.019802,0.024113,0.021229
MDA,0.0050331,0.0049744,0.0027952,0.0028171,0.0040804,0.0042307,0.0027941,0.0028668,0.0031817,0.0052281,0.0049768,0.0055486,0.0029757,0.0030536,0.0069452,0.0054575,0.0061268,0.0043308,0.0042321,0.0040159
ROU,0.038599,0.037991,0.026947,0.024152,0.036322,0.03534,0.025327,0.031363,0.033025,0.031912,0.04111,0.033818,0.027157,0.029011,0.041867,0.03358,0.041561,0.03761,0.037663,0.031926
CHE,0.011979,0.012205,0.01272,0.014841,0.0073783,0.011568,0.012464,0.0098253,0.013563,0.0144,0.013414,0.011888,0.011144,0.012916,0.015839,0.0154,0.014626,0.0094139,0.014961,0.011694
LIE,0.000037548,0.000037449,0.000047187,0.000052799,0.000030971,0.00004453,0.000053982,0.000045253,0.000052955,0.000064631,0.000053729,0.000044076,0.000039569,0.000043613,0.000061974,0.000058478,0.000055575,0.000037122,0.000059847,0.00004468
FRA,0.00010977,0.00010486,0.0000946,0.000097069,0.00010177,0.000095279,0.000097762,0.000088169,0.000093771,0.000092648,0.000090952,0.000095011,0.000091523,0.000092482,0.000083468,0.000096576,0.00008356,0.000091835,0.000088022,0.000091142
ITA,0.070486,0.068116,0.076015,0.084337,0.061232,0.0745,0.083274,0.074222,0.086121,0.091857,0.082352,0.07462,0.060358,0.066195,0.078019,0.084093,0.075923,0.06141,0.083925,0.070629
SVN,0.0053945,0.005418,0.0064713,0.0091701,0.0060049,0.0079841,0.0091817,0.0066379,0.007242,0.009814,0.0068326,0.0063589,0.0044117,0.0064357,0.0075189,0.007599,0.0070073,0.0058161,0.0081139,0.0068491
HRV,0.017208,0.01695,0.019505,0.027969,0.019604,0.024801,0.027748,0.020587,0.022213,0.028875,0.02045,0.019602,0.013424,0.019497,0.021066,0.022685,0.020535,0.018482,0.024096,0.020835
SRB,0.016251,0.016777,0.014533,0.016087,0.017645,0.01805,0.015545,0.016073,0.018992,0.013157,0.015216,0.012595,0.013514,0.015147,0.011175,0.015149,0.014462,0.017405,0.018306,0.013415
UZB,0.017035,0.016421,0.016317,0.018342,0.015593,0.019543,0.018495,0.01466,0.012357,0.011413,0.012125,0.013495,0.013418,0.015622,0.011973,0.013268,0.019088,0.01691,0.013337,0.01384
JPN,0.0855,0.086222,0.079439,0.072977,0.069718,0.067535,0.071245,0.059939,0.059222,0.058056,0.063009,0.06115,0.061736,0.063829,0.065972,0.077891,0.079741,0.074905,0.077002,0.070092
BIH,0.0078506,0.0076219,0.0084058,0.012435,0.0093106,0.011275,0.012214,0.0091889,0.0097602,0.012246,0.0086971,0.0086063,0.0057736,0.0085699,0.0083605,0.0097009,0.0086214,0.0085359,0.010341,0.0091523
BGR,0.021,0.021947,0.01827,0.023116,0.022528,0.021928,0.019962,0.018564,0.023849,0.025171,0.023644,0.023335,0.018836,0.020881,0.016708,0.027196,0.020208,0.02391,0.021478,0.014722
ESP,0.099771,0.10487,0.092561,0.082067,0.074069,0.067047,0.079862,0.075735,0.076497,0.061576,0.087123,0.1056,0.077577,0.062021,0.070481,0.090162,0.10473,0.093236,0.081433,0.093542
GEO,0.0063228,0.0057167,0.005024,0.0042742,0.004928,0.0052195,0.0047394,0.0050794,0.004213,0.0050272,0.0052752,0.0040991,0.0047299,0.0048799,0.0044932,0.0058188,0.0053322,0.0057041,0.0051386,0.0047645
KGZ,0.0071834,0.0065476,0.0073207,0.0068947,0.0057281,0.0066018,0.0062907,0.0061887,0.0056623,0.0055302,0.0050737,0.0065246,0.0060496,0.0081076,0.0054616,0.0054884,0.0067918,0.0074334,0.0057441,0.0065424
PRK,0.019745,0.019022,0.010286,0.014424,0.0068976,0.010265,0.017294,0.013602,0.011689,0.010265,0.0098329,0.0033946,0.0028377,0.0084065,0.01215,0.007412,0.0052911,0.011195,0.012383,0.004905
AND,0.000084851,0.000082562,0.000075789,0.000064603,0.000055435,0.000050267,0.00006726,0.000070807,0.000058813,0.000037619,0.000075418,0.000099604,0.00006893,0.000052302,0.000069448,0.00007104,0.000068697,0.0000734,0.000055326,0.000087955
ALB,0.0049891,0.0051864,0.0044015,0.004903,0.0053296,0.0052627,0.0044505,0.0047159,0.0060179,0.003581,0.0041929,0.0038632,0.0044384,0.0045575,0.0024784,0.0049781,0.0039656,0.0053409,0.0053248,0.0035763
TKM,0.019856,0.019174,0.022607,0.023595,0.021682,0.028008,0.027893,0.020881,0.015767,0.015543,0.016474,0.019582,0.018181,0.018996,0.015884,0.018025,0.02179,0.02082,0.019215,0.020891
MKD,0.0041602,0.0045591,0.0036588,0.0039133,0.0044981,0.0043729,0.0034839,0.0037835,0.0051477,0.0025345,0.0032766,0.0029361,0.0038212,0.0038695,0.0017263,0.0040274,0.0031296,0.004546,0.0044583,0.002688
TUR,0.091404,0.088383,0.079554,0.088148,0.089273,0.099158,0.10295,0.09008,0.092462,0.11041,0.10099,0.099735,0.086426,0.097621,0.08618,0.11518,0.09873,0.098269,0.093866,0.079407
PRT,0.011843,0.013109,0.011592,0.010329,0.0092006,0.0085852,0.0095153,0.0088169,0.0096234,0.0085237,0.0106,0.012118,0.0093676,0.007659,0.0080184,0.011122,0.014408,0.011551,0.010751,0.01046
AZE,0.0083482,0.0076457,0.0070797,0.0070901,0.0074662,0.0075606,0.0073017,0.0068191,0.0059273,0.0067033,0.007001,0.0062131,0.006637,0.0072002,0.0064524,0.007793,0.0078398,0.0081151,0.0075271,0.0074569
GRC,0.033115,0.034613,0.029177,0.032474,0.035885,0.034924,0.030041,0.030923,0.039246,0.027854,0.029883,0.028575,0.029826,0.031682,0.020467,0.033997,0.02807,0.036462,0.03453,0.023689
ARM,0.0024553,0.0022025,0.001888,0.0015242,0.0018562,0.0019786,0.0018142,0.0018741,0.0014931,0.0018799,0.0019717,0.0014492,0.0017491,0.0018756,0.0016935,0.0022197,0.0020201,0.0022272,0.0019387,0.0017952
TJK,0.010548,0.0090818,0.0089946,0.01216,0.0099922,0.010201,0.013244,0.010859,0.010645,0.0096057,0.011766,0.011063,0.01433,0.0117,0.010571,0.01019,0.015415,0.010628,0.012087,0.012449
IRN,0.094616,0.096331,0.093048,0.10439,0.1093,0.12806,0.13787,0.10194,0.085953,0.092285,0.10569,0.1069,0.10883,0.10566,0.098246,0.11276,0.11981,0.11249,0.118,0.10825
KOR,0.036559,0.037635,0.032796,0.041751,0.041487,0.03932,0.045644,0.023411,0.02242,0.022826,0.026834,0.023554,0.02071,0.023208,0.023229,0.025408,0.025724,0.028049,0.02803,0.027682
AFG,0.040548,0.036354,0.039336,0.045566,0.042788,0.046351,0.052989,0.045723,0.040671,0.037433,0.041969,0.039124,0.045282,0.038004,0.035586,0.035207,0.051283,0.039773,0.042477,0.044619
